id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
18948004,spohlman,,,https://static.inaturalist.org/photos/29048581/medium.jpg,35.7025866667,-76.5605916667,Itea virginica,Virginia sweetspire,83152,Iteaceae
20140492,dellwo,Lisa Dellwo,CC-BY,https://static.inaturalist.org/photos/31063192/medium.jpg,35.6605383333,-76.5804216667,Veronica persica,bird's-eye speedwell,55666,Plantaginaceae
25314070,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/39195218/medium.jpeg,35.4544181824,-76.1766967773,Carex comosa,bristly sedge,76025,Cyperaceae
25628172,hippieheartnaturewise,Ashley Johnson,,https://static.inaturalist.org/photos/39715990/medium.jpg,35.1149813645,-75.9833795205,Lantana camara,common lantana,50333,Verbenaceae
27214990,brianw,Brian Wulker,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/42320902/medium.jpeg,35.1480331421,-75.8714523315,Trifolium repens,white clover,55745,Fabaceae
27812454,askinner718,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/43313299/medium.jpg,35.1105359892,-75.9805974102,Borrichia frutescens,sea ox-eye,127270,Asteraceae
27812519,askinner718,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/43313418/medium.jpg,35.1088283102,-75.9786582268,Quercus virginiana,southern live oak,49013,Fagaceae
28051489,alexandradrown,Alexandra Drown,,https://static.inaturalist.org/photos/43702568/medium.jpeg,35.1040687561,-75.9893188477,Sabatia stellaris,marsh pink,126339,Gentianaceae
28051513,alexandradrown,Alexandra Drown,,https://static.inaturalist.org/photos/43702608/medium.jpeg,35.1039505005,-75.9891815186,Borrichia frutescens,sea ox-eye,127270,Asteraceae
28056286,asher_found_this,,,https://static.inaturalist.org/photos/43709684/medium.jpg,35.1096309861,-75.982964784,Morus rubra,red mulberry,54801,Moraceae
28263916,mandymack13,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/44047066/medium.jpg,35.1106775506,-75.9767606669,Albizia julibrissin,Persian silk tree,47443,Fabaceae
28589388,spohlman,,,https://static.inaturalist.org/photos/44577169/medium.jpg,35.5551866667,-76.01441945,Alternanthera philoxeroides,Alligatorweed,75386,Amaranthaceae
28591166,catherineharold,Catherine,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/44580098/medium.jpeg,35.0961456299,-75.9795227051,Sabatia stellaris,marsh pink,126339,Gentianaceae
28591174,catherineharold,Catherine,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/44580110/medium.jpg,35.1058349609,-75.9702224731,Sesbania punicea,Scarlet Sesbane,79065,Fabaceae
28790119,mkosiewski,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/44902861/medium.jpg,35.4868283333,-76.08065,Phragmites australis,common reed,64237,Poaceae
28864509,spohlman,,,https://static.inaturalist.org/photos/45020384/medium.jpeg,35.6899980556,-76.1686180556,Ipomoea sagittata,Saltmarsh Morning-glory,131555,Convolvulaceae
30151769,saramd,Sara Miya Do,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/47090357/medium.jpeg,35.1073150635,-75.9521255493,Uniola paniculata,sea oats,126303,Poaceae
30151791,saramd,Sara Miya Do,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/47090404/medium.jpeg,35.1073150635,-75.9521255493,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
30151852,saramd,Sara Miya Do,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/47090505/medium.jpeg,35.1282672054,-75.8176460979,Ipomoea imperati,beach morning-glory,130193,Convolvulaceae
30656726,asher_found_this,,,https://static.inaturalist.org/photos/47906260/medium.jpg,35.1153555,-75.98803,Monarda punctata,spotted horse mint,118776,Lamiaceae
30663730,emiliedwolf,"",,https://static.inaturalist.org/photos/47917733/medium.jpg,35.1149026788,-75.9554368529,Gaillardia pulchella,Indian blanket,51768,Asteraceae
30776625,yan_tonz,Yianni Laskaris,CC-BY-NC,https://static.inaturalist.org/photos/48101689/medium.jpg,35.1075577756,-75.9860027727,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
31202399,reganbro,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/48861790/medium.jpg,35.1080278333,-75.985695,Nekemias arborea,peppervine,551846,Vitaceae
